,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Post,Notes
62,Rice,CUSA (West),2,3,.400,2,3,.400,23.4,18.8,-3.97,-7.97,,,,
63,Southern Mississippi,CUSA (West),3,7,.300,2,4,.333,25.3,32.3,-14.39,-7.79,,,,
64,UTEP,CUSA (West),3,5,.375,0,4,.000,23.0,31.0,-15.29,-11.41,,,,
65,Liberty,Ind,10,1,.909,1,0,1.000,38.2,20.5,1.60,-12.22,,17,17,
66,Massachusetts,Ind,0,4,.000,0,1,.000,3.0,40.3,-24.68,-1.18,,,,
67,New Mexico State,Ind,1,1,.500,,,,26.5,36.0,-27.68,-19.18,,,,
68,BYU,Ind,11,1,.917,,,,43.5,15.3,14.70,-3.89,,8,11,
69,Army,Ind,9,3,.750,,,,26.8,14.8,0.67,-7.59,,22,,
70,Connecticut,Ind (East),0,0,,,,,,,,,,,,
71,Buffalo,MAC (East),6,1,.857,5,1,.833,43.4,21.9,17.73,1.73,,23,25,
72,Kent State,MAC (East),3,1,.750,3,1,.750,49.8,38.0,7.02,-0.74,,,,
73,Miami (OH),MAC (East),2,1,.667,2,1,.667,28.7,26.7,11.41,9.08,,,,
74,Ohio,MAC (East),2,1,.667,2,1,.667,34.3,16.7,4.28,-6.06,,,,
75,Akron,MAC (East),1,5,.167,1,5,.167,17.2,41.3,-8.82,5.52,,,,
76,Bowling Green State,MAC (East),0,5,.000,0,5,.000,11.4,45.0,-17.51,6.49,,,,
77,Ball State,MAC (West),7,1,.875,6,1,.857,34.3,25.8,18.41,8.91,,23,23,
78,Toledo,MAC (West),4,2,.667,4,2,.667,35.0,24.3,12.44,3.94,,,,
79,Western Michigan,MAC (West),4,2,.667,4,2,.667,41.7,34.2,10.39,5.72,,,,
80,Central Michigan,MAC (West),3,3,.500,3,3,.500,31.3,30.2,8.26,8.26,,,,
81,Eastern Michigan,MAC (West),2,4,.333,2,4,.333,33.2,36.0,5.80,9.13,,,,
82,Northern Illinois,MAC (West),0,6,.000,0,6,.000,24.8,38.7,-1.53,12.14,,,,
83,Boise State,MWC (Mountain),5,2,.714,5,1,.833,33.9,27.1,3.41,-3.02,,21,,
84,Air Force,MWC (Mountain),3,3,.500,2,2,.500,24.3,15.0,0.85,-4.99,,,,
85,Wyoming,MWC (Mountain),2,4,.333,2,4,.333,26.5,21.0,-5.27,-7.94,,,,
86,New Mexico,MWC (Mountain),2,5,.286,2,5,.286,23.9,32.6,-11.71,-4.29,,,,
87,Colorado State,MWC (Mountain),1,3,.250,1,3,.250,22.3,35.8,-14.31,-2.56,,,,
88,Utah State,MWC (Mountain),1,5,.167,1,5,.167,15.5,35.2,-19.38,-2.55,,,,
89,San Jose State,MWC (West),7,1,.875,7,0,1.000,28.6,19.9,7.04,-1.71,,19,24,
90,Nevada,MWC (West),7,2,.778,6,2,.750,30.8,23.3,0.45,-7.10,,,,
91,San Diego State,MWC (West),4,4,.500,4,2,.667,24.6,17.8,0.43,-4.82,,,,
92,Hawaii,MWC (West),5,4,.556,4,4,.500,26.2,27.6,-4.98,-4.20,,,,
93,Fresno State,MWC (West),3,3,.500,3,3,.500,32.8,30.0,-8.90,-11.74,,,,
94,Nevada-Las Vegas,MWC (West),0,6,.000,0,6,.000,17.3,38.0,-20.68,-1.84,,,,
95,Oregon,Pac-12 (North),4,3,.571,4,2,.667,31.3,28.3,0.81,-1.77,9,9,,
96,Washington,Pac-12 (North),3,1,.750,3,1,.750,30.3,25.0,0.11,-5.89,,23,,
97,Stanford,Pac-12 (North),4,2,.667,4,2,.667,29.3,31.7,-3.01,-3.01,,,,
98,Oregon State,Pac-12 (North),2,5,.286,2,5,.286,28.9,33.3,-7.27,-2.98,,,,
99,California,Pac-12 (North),1,3,.250,1,3,.250,20.3,26.5,-10.11,-2.36,,,,
100,Washington State,Pac-12 (North),1,3,.250,1,3,.250,27.0,38.5,-11.34,-0.09,,,,
101,USC,Pac-12 (South),5,1,.833,5,1,.833,33.3,26.0,5.32,-3.68,17,13,21,
102,Colorado,Pac-12 (South),4,2,.667,3,1,.750,28.5,31.7,-1.66,-0.66,,21,,
103,Utah,Pac-12 (South),3,2,.600,3,2,.600,30.2,26.0,0.67,-2.93,22,22,,
104,Arizona State,Pac-12 (South),2,2,.500,2,2,.500,40.3,23.3,1.75,-4.00,,,,
