exam grades
82
75
45
95
49
77
59
92
61
62
41
72
89
72
89
86
77
95
82
82
58
37
66
88
67
102
28
66
22
62
87
85
64
69
59
75
53
69
53
77
68
81
71
89
82
100
63
74
79
79
94
67
69
76
87
72
82
48
40
32
95
87
67
87
61
77
87
80
69
71
67
84
77
84
90
90
63
80
84
65
92
87
97
79
49
90
87
92
81
28
25
19
18
54
79
71
53
75
59
100
95
82
92
66
80
97
75
100
90
82
100
69
97
80
82
79
92
80
80
92
85
75
59
87
41
28
23
28
30
22
36
59
47
49
69
82
64
84
77
80
81
66
53
58
95
79
82
82
64
60
82
54
70
82
81
81
50
56
17
25
27
26
59
56
36
76
82
82
54
48
82
56
75
58
79
25
85
58
72
56
69
89
76
79
71
66
74
75
24
48
29
33
71
77
68
80
34
71
87
71
87
84
87
102
87
97
71
84
100
80
71
100
30
63
62
84
82
90
62
61
67
75
72
79
74
86
69
69
73
70
81
64
65
72
77
89
80
50
94
100
84
64
81
36
22
43
24
74
79
62
73
77
77
55
59
84
82
65
75
72
84
82
75
49
62
56
87
67
81
79
76
69
87
78
48
79
73
46
51
77
89
56
38
84
89
77
84
90
51
84
58
87
89
97
97
90
70
66
79
48
82
79
95
95
82
66
87
79
73
63
94
66
100
47
89
85
23
100
90
87
87
92
90
89
97
85
84
97
94
65
84
87
85
105
71
94
79
85
33
82
87
83
76
100
79
95
85
82
79
90
92
57
52
87
54
97
54
92
64
42
74
79
87
79
92
44
81
84
86
77
87
77
87
82
87
72
72
81
53
95
92
77
102
84
100
69
66
79
85
97
82
64
87
74
100
95
82
87
55
102
100
82
76
66
95
69
95
95
59
69
82
84
89
82
79
84
59
92
56
89
29
105
97
87
87
51
85
90
75
76
95
82
102
77
80
64
90
85
105
95
72
97
95
64
63
90
69
95
81
74
89
84
86
62
90
102
75
79
61
95
87
71
92
92
95
97
